Timestamp,moon2A,moon2AY,moon2B,moon2BED,moon2BOO,moon2BRAIN,moon2C,moon2CD,moon2COFFEE,moon2COOM,moon2CR,moon2CUTE,moon2CV,moon2D,moon2D,moon2DEV,moon2DODGE,moon2DOIT,moon2DUMB,moon2E,moon2EEL,moon2EZ,moon2G,moon2GN,moon2GUMS,moon2H,moon2JIMBO,moon2JR,moon2L,moon2LOLE,moon2M,moon2MD,moon2ME,moon2MM,moon2N,moon2O, moon2PEEPEEGA,moon2PH,moon2POGGYWOGGY,moon2PREGARIO,moon2PREGIGI,moon2S,moon2SECRETMOTE,moon2SGUN,moon2SH,moon2SMAG,moon2SMEG,moon2SMERG,moon2SMORG,moon2SMUG,moon2SP,moon2SPY,moon2SUFFER,moon2T,moon2VERYSCARED,moon2W,moon2WUT,moon2Y
4/13/2020 14:06:05,4,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4
4/13/2020 14:07:07,-3,3,-3,3,-2,2,4,4,4,-3,4,4,4,2,4,4,3,0,-3,4,2,2,2,4,1,-4,2,4,4,-2,4,-4,2,-4,0,-3,-3,0,3,4,-4,4,-4,4,4,1,-1,-2,1,4,4,4,-2,2,0,-4,4,4
4/13/2020 14:07:35,-4,3,-1,4,-2,-1,4,1,0,0,2,4,3,-2,1,2,0,-1,-2,2,4,4,1,2,1,-2,3,4,2,3,1,-1,3,-3,0,4,0,-2,3,0,0,4,0,2,4,2,1,2,3,2,4,1,-2,2,-1,1,-2,-1
4/13/2020 14:09:34,-1,3,-4,1,-2,3,2,-1,0,1,2,4,2,-1,4,-1,1,1,-3,4,1,3,0,-1,1,1,2,2,2,1,-2,-1,1,-3,0,-2,-3,-1,4,1,1,4,1,4,3,1,0,-2,-1,4,2,2,2,1,2,-1,-2,1
4/13/2020 14:11:27,-4,4,1,4,-2,0,2,0,1,-1,1,4,2,-2,1,-1,0,-1,-3,-1,0,1,1,0,1,-3,0,1,3,2,2,-3,1,-1,0,2,-2,-4,0,-4,-4,4,-4,-1,3,2,1,1,0,2,4,1,-2,2,-2,-3,1,1
4/13/2020 14:11:27,4,-4,4,4,0,4,4,1,-1,-3,4,4,4,4,4,2,2,2,3,4,4,4,4,0,3,4,3,3,2,4,4,0,4,0,3,4,0,4,4,4,4,4,0,4,4,2,4,2,1,4,3,3,3,3,3,3,4,4
4/13/2020 14:11:53,4,-4,0,4,0,0,4,4,4,4,-4,4,4,4,-4,4,-4,4,4,4,0,-2,4,-4,0,4,0,0,4,4,4,0,-2,-2,2,0,-2,4,4,0,0,4,0,4,4,0,-2,-4,-2,4,4,4,4,-2,4,0,2,2
4/13/2020 14:15:21,-4,4,-2,4,-3,1,4,0,0,0,1,4,4,-1,2,1,0,1,-1,-1,0,2,0,1,0,0,0,1,3,3,2,0,2,0,0,-1,-2,-3,4,2,2,3,1,3,3,1,1,0,0,1,3,1,-1,1,-1,1,0,0
4/13/2020 14:19:56,-4,2,-1,0,-3,3,4,-2,1,2,2,4,1,-2,2,2,2,-2,-4,4,2,2,1,3,4,2,4,-2,4,3,0,-4,0,-2,0,-1,-3,-3,4,2,2,3,2,1,2,2,4,-4,-3,3,1,2,-2,2,-4,-4,0,2
4/13/2020 14:24:02,-4,3,-3,3,-2,1,4,0,0,-1,2,4,1,-2,-1,1,0,1,-1,1,3,2,0,0,2,0,-2,2,1,1,2,-2,0,0,0,3,-1,-3,3,0,0,4,0,0,3,0,0,-1,-2,0,3,2,-1,0,-2,2,-2,1
4/13/2020 14:25:09,-3,4,-1,4,-1,1,2,-1,-1,-1,1,4,1,-1,2,-1,3,1,-3,3,3,2,2,-1,2,1,-1,-1,3,-1,-1,-1,2,-2,-3,-3,-4,-1,4,4,4,4,4,1,1,-1,-1,-4,1,-1,4,3,-2,1,-1,2,-2,2
4/13/2020 14:25:10,-4,3,1,3,-3,2,4,-1,1,3,1,4,2,-3,-1,-3,0,2,-1,3,2,2,1,0,0,-3,1,0,3,1,0,-1,1,-4,0,-2,-3,-4,1,2,2,4,0,2,3,1,1,-2,-1,1,3,1,-4,0,-2,1,-2,0
4/13/2020 14:25:30,-4,-4,-4,4,-2,4,4,0,0,-1,0,4,2,-2,-2,-1,2,-2,-1,2,3,2,2,1,0,3,3,-1,4,2,3,-1,2,3,0,-1,-2,-3,4,0,0,3,0,1,2,0,2,-1,-1,4,4,0,-2,1,-2,-3,-1,-1
4/13/2020 14:25:54,0,1,-3,4,0,0,4,4,0,0,4,4,2,0,4,0,0,4,0,4,0,4,4,1,0,4,4,-1,3,4,4,0,3,0,0,0,0,0,0,0,0,4,0,4,4,4,4,0,0,4,4,4,0,4,0,-4,0,0
4/13/2020 14:27:36,,4,-1,3,-1,4,0,-1,-4,-1,2,4,1,2,-1,2,0,1,1,3,4,-1,-1,-1,0,0,2,1,3,2,2,-4,-4,1,1,0,-1,3,-1,-4,-4,3,-4,-4,-4,-4,-4,3,-4,2,1,1,2,2,-4,-4,2,-4
4/13/2020 14:27:49,4,-4,4,4,3,2,2,0,3,4,3,4,3,3,3,3,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,0,0,4,4,4,4,4,4,0,4,4,4,4,2,4,4,3,4,4
4/13/2020 14:28:29,4,0,2,4,0,3,3,1,1,4,2,4,3,4,1,3,0,3,3,4,0,4,4,2,4,4,4,3,4,4,3,1,3,4,0,2,0,3,4,3,3,4,3,4,4,4,3,2,3,4,4,3,4,4,2,3,4,4
4/13/2020 14:29:57,-4,3,-2,3,0,2,2,-1,0,-2,1,4,2,-1,0,-2,0,-2,-2,3,1,2,0,-1,0,-2,0,1,1,3,0,-1,0,-1,0,-2,-1,-4,4,1,1,4,0,1,1,0,0,-1,0,2,2,0,-3,0,-3,0,0,0
4/13/2020 14:31:00,-1,3,0,4,-2,0,3,0,2,-2,0,4,2,2,-1,-3,0,3,-1,4,1,3,-1,-3,0,0,-1,2,3,3,1,0,0,-2,0,0,-1,-1,1,0,0,4,0,-1,4,3,-3,-1,0,0,4,0,-4,-1,0,-4,-2,0
4/13/2020 14:31:45,4,0,1,4,4,4,-1,-4,-4,2,-4,4,-4,4,0,0,-4,2,1,0,-2,3,1,-4,3,4,-1,-3,4,2,3,4,-3,3,4,-4,-4,2,4,-4,-4,4,-4,-1,4,-1,4,3,2,4,1,4,4,4,1,0,2,-4
4/13/2020 14:33:19,4,4,4,4,-4,2,4,2,4,4,2,4,2,4,-4,4,-2,-2,-4,4,4,-4,-3,1,1,4,-4,2,4,4,-4,-4,-2,3,3,3,-2,2,2,2,-4,4,4,3,4,-4,-2,4,-4,4,4,3,4,1,-2,4,-2,-4
